Concept,Evaluation_mean,Evaluation_std,Potency_mean,Potency_std,Activity_mean,Activity_std
"Disagrees (shows passive rejection, formality, withholds help)",-1.315625,2.14244448221535,-0.725,1.9546419109391877,-0.4156249999999999,2.0515404844591782
"Efficiency, strong impartial management",2.141666666666666,1.6119992762612105,2.1444444444444444,1.4332256634839944,1.45,1.6344384016808005
English speaker,2.3833333333333333,1.3635126206481063,2.2249999999999996,1.5408105731147559,1.5472222222222223,1.5153815271539728
Equality and democratic participation in decision-making,2.5111111111111115,1.272743706804271,1.802777777777778,1.9696990902604488,1.7472222222222218,1.6185532138835719
Firefox,1.4323529411764704,1.334986359973344,1.2235294117647062,1.722354548375978,1.4205882352941177,1.4668452365866298
"Friendship, mutual pleasure, and recreation",2.2578947368421054,1.626043240660781,1.807894736842105,1.782130832657676,1.8289473684210527,1.5097765423254637
Git,1.6414634146341467,1.4550124649128457,1.66829268292683,1.717973710635371,1.5243902439024393,1.5666930354162847
GitHub,1.8421052631578945,1.7990687033701587,1.8263157894736848,1.7332179093609783,1.6210526315789477,1.7972431951444618
GitHub user,2.1073170731707314,1.5478372391749722,1.7731707317073169,1.7254231563334426,1.7549999999999997,1.7095247877699813
"Gives opinions (evaluation, analysis, expresses feelings, wishes)",1.7937500000000002,1.3961862116136228,1.9625000000000001,1.2476853569710593,1.3875,1.583064670188808
"Gives orientation (information, repeats, clarifies, confirms)",1.9354838709677418,1.6906857526625056,1.9225806451612901,1.5611636845468737,1.9161290322580642,1.504637299386638
"Gives suggestions (direction, implying autonomy for the other)",1.8599999999999999,1.0983624174196784,1.4800000000000002,1.307735228772028,1.1800000000000002,1.2967652061957864
"Giving up personal needs and desires, passivity",0.4951219512195123,2.149186030776302,0.3048780487804878,2.393278312835529,0.08292682926829263,2.349873109083209
Go,2.1694444444444443,1.3719044841315473,1.9833333333333334,1.5098749028387162,2.2333333333333334,1.5436248824691112
HTML,1.66046511627907,1.6448848881592761,1.5488372093023257,1.726721869717197,1.2116279069767442,2.0733311363797307
"Having a good time, releasing tension, and relaxing control",2.1263157894736837,1.7116757271790268,1.7368421052631582,1.967555396482434,1.5945945945945943,2.1342694105308118
"Individual financial success, personal prominence, and power",2.1815789473684206,1.5829445019958508,2.202631578947368,1.6713509886986104,1.7763157894736843,1.5810446597318124
JSON,1.2815789473684216,1.9736228060623484,1.4578947368421056,1.7081278731479477,0.992105263157895,1.7847868189001361
Java,0.8944444444444445,1.8527673662875883,1.1222222222222225,1.9593240204937903,0.902777777777778,1.9040141968295288
Javascript,2.1305555555555555,1.6175804023369877,1.666666666666667,1.6764711615639427,1.6361111111111115,1.6512878438388252
